Genotype,CobDiameter,CobWeight,DaystoSilk,DaysToTassel,EarDiameter,EarHeight,EarLength,EarRankNumber,EarRowNumber,EarWeight,GDDAnthesis.SilkingInterval,GDDDaystoSilk,GDDDaystoTassel,GerminationCount,LeafLength,LeafWidth,MainSpikeLength,MiddleLeafAngle,NIROil,NIRProtein,NIRStarch,NumberofTilleringPlants,PlantHeight,RowQuality,SecondaryBranchNumber,SeedSetLength,SouthernLeafBlight,Spikelets.MainSpike,Spikelets.PrimaryBranch,StandCount,TasselBranchLength,TasselLength,TasselPrimaryBranches,TilleringIndex,TotalKernelVolume,UpperLeafAngle,X20KernelWeight
A680,27.0985562,17.35592957,74.55413811,74.18978621,39.4446821,77.81545427,137.1811622,25.16611838,14.95376914,74.33300174,10.24409356,882.6274157,875.2479261,6.363634154,723.5201162,82.60482484,225.3955112,66.78383773,3.76465941,13.37944538,67.84786074,1.242602085,154.3677728,2.24829636,1.280424403,116.5290628,6.451682391,25.41763953,12.45949511,8.055173438,201.3962564,300.1016026,6.704717934,0.679032053,71.06707502,77.78376011,3.957081036
A682,21.81098348,12.67056185,68.80704582,67.40634927,31.92904588,50.21859188,141.2381303,21.75585202,10.08104102,51.96346949,19.60421145,800.8044976,785.9498919,7.306215437,563.4960819,72.05150578,287.3668271,59.12877919,3.972274498,12.59036233,66.16590782,1.242602085,134.0659842,2.067973876,0.536056589,119.8611574,6.814892918,22.17431576,14.6253645,7.343067661,175.0156736,342.499364,4.975124611,0.542887956,52.14408288,23.21893482,4.836921238
Ab28A,26.67383374,21.70470535,86.29612418,84.99932931,37.8690828,66.77598167,143.0780495,NA,10.73834885,68.44295882,23.45133959,1028.494554,1018.296717,4.478471587,785.1203172,114.565509,252.3235814,62.20446667,4.998922263,15.39271129,65.01299649,1.242602085,145.8823604,2.24829636,2.053278376,112.9956339,6.742250812,27.03930142,18.68636961,7.014403457,205.6030943,366.7816058,10.27734793,0.679032053,NA,66.37853515,5.319232907
B10,28.98578698,31.31696242,81.40276292,76.87825477,42.28910245,68.04194877,173.9298587,21.06039078,14.15727418,100.250068,52.38284402,978.3215172,916.345767,5.642836702,788.026898,94.19753698,209.4393374,54.3541163,3.576349045,13.43526756,66.03363965,1.242602085,138.457183,2.24829636,3.212559334,147.0329723,5.870545548,27.50263339,18.14490226,7.014403457,215.9289692,315.3140572,11.51603748,0.662944391,67.58977677,38.57742058,5.701826391
B103,26.10902694,14.82268788,70.81310634,70.11972404,36.8174523,45.46051216,136.3550848,19.91561474,14.41780359,61.64734547,12.25066689,824.2446859,817.2578518,6.585417985,661.1767927,79.88633908,287.2604407,67.38420456,4.383215946,14.17150789,66.75787682,1.242602085,102.1968973,2.158135118,0.65314774,117.928407,7.396029761,24.25930961,15.16683185,8.109950805,202.2671111,298.3358351,0.911836099,0.530819395,60.65349631,59.09489447,5.022478038
B104,27.85331553,20.11028157,75.90958441,73.26723879,40.37372531,47.60164803,132.0596946,22.96106038,13.43760517,88.15317822,37.91006935,896.3272721,857.1674167,8.193350763,764.1046065,82.0207455,197.8391377,60.89607494,3.628514673,11.9841033,69.92296375,1.242602085,121.3183494,2.24829636,1.093499556,117.842982,4.853556072,27.50263339,14.89609818,7.288290294,170.8660556,276.8138299,8.732517002,0.582906768,69.41134848,58.83360113,5.040754305
B105,26.53484456,22.09817549,79.43374477,77.66290593,38.05922847,59.8794362,134.3852217,22.17373746,15.33344045,63.81754332,21.1023545,939.2581122,923.118604,7.361661395,711.6007554,86.18544094,214.618322,63.5128584,3.818059288,14.31611246,68.15022844,1.497289536,134.7338741,2.158135118,2.053278376,120.3228731,4.853556072,25.18597355,14.6253645,7.616954498,198.3367379,298.8260944,10.04462228,0.622925579,60.56146443,70.06921486,3.831462464
B109,26.45879376,14.86170385,74.55413811,74.02698372,41.11646312,67.58558286,128.0821905,22.23232974,14.72769565,78.32557102,17.25699729,874.5088865,860.8745768,8.359688637,683.6555873,86.00323551,204.2837379,59.58768322,3.88001767,14.47104055,67.72004912,1.242602085,150.3546286,2.158135118,1.085972629,110.8005963,7.613956077,25.41763953,15.16683185,7.890841336,168.4398835,288.5224812,6.466153337,0.530819395,63.57094982,65.36593469,4.743163607
B115,24.15935122,22.08821014,80.03014114,76.7403585,35.51011286,76.25507738,147.0099717,24.10940702,13.37672687,69.4583888,32.68931766,941.5090881,901.9335229,5.254714997,696.0494396,86.26374811,218.6824843,53.04572457,4.141771428,14.73667489,66.68990423,1.242602085,144.488553,2.158135118,2.765828456,126.2676845,6.596966601,23.17688591,17.34009076,6.904848722,223.1512426,356.9595484,14.33878501,0.604925724,61.10646336,36.36237367,5.29291877
B14A,25.66625631,16.09763798,75.48818613,73.41732558,34.170676,59.25894335,145.0080063,20.71364738,12.70862532,62.81484635,36.30607033,878.1839389,840.5992258,6.030958407,802.9291912,82.85368458,222.3756171,64.16705427,4.258566648,14.98580309,64.66997563,1.242602085,136.6627246,2.067973876,1.497421074,110.7484708,5.797903442,23.10097969,16.52050022,8.055173438,212.260931,308.8924585,6.346871039,0.530819395,57.3249763,36.36237367,5.030399892
B164,24.86639629,14.04769433,72.38542404,69.95692156,36.93590163,61.16217524,146.3451782,21.18082783,15.52107681,73.6324128,31.96183381,845.4472559,809.3067289,7.139877564,720.9791658,80.66325152,206.7532635,70.05481705,4.904517783,13.47185445,68.32644973,1.242602085,138.5512631,2.24829636,2.053278376,121.9307827,6.524324496,28.89262929,16.79123389,7.671731866,222.0480061,296.1477074,14.42301586,0.582906768,60.5557982,58.0497211,4.315169841
B2,29.33429253,30.57820475,74.44570241,73.26723879,42.3796616,76.38803035,143.4009157,24.36019337,15.04239254,105.3603813,21.0108778,852.2872585,844.1838464,5.365606913,812.5020112,88.99661036,279.5287998,61.55027081,4.051537022,17.79243058,63.152502,1.242602085,151.2988978,2.24829636,1.280424403,121.9819965,6.524324496,25.18597355,14.08389715,7.562177131,221.2831265,376.6300826,9.865698834,0.582906768,71.39042336,65.62722804,5.980602781
B37,26.00358591,23.06607605,77.86142707,74.2983212,40.21243386,65.92025496,147.4298005,23.64578748,14.50440301,94.82599439,47.59440965,929.3712386,877.045265,5.088377123,666.8031577,85.84705943,229.2940797,67.43803359,3.687071981,13.6525626,64.00820345,1.242602085,137.6069938,2.158135118,1.66685139,135.3567915,6.379040285,24.95430756,15.7082992,8.121368339,179.9796271,293.9771163,7.062564828,0.622925579,70.14103389,60.40136119,5.454363095
B46,27.88939557,19.47535338,74.71679167,72.56508244,39.02904378,49.74278391,137.2038686,21.17386388,14.87258503,76.45119454,29.56765699,878.6384251,853.2865327,6.419080112,724.5333952,94.56689051,219.1071823,62.20446667,4.104297378,14.55254075,66.23757411,1.242602085,145.6332824,2.158135118,0.661256624,118.455806,5.870545548,26.80763543,18.14490226,6.685739252,183.4902461,302.9862756,8.672875853,0.622925579,64.91637353,49.4270408,4.629860587
B52,28.14027851,18.9492005,77.37335965,77.89745407,37.34346166,72.81947056,147.277058,24.42444093,16.08201077,76.92871079,-7.466986212,903.2272597,930.6171942,8.692364384,726.426627,86.70602787,281.3867025,68.09222945,4.477984168,14.03351066,66.4273946,3.534789151,150.5906959,2.158135118,2.208385489,120.3261742,6.669608707,25.41763953,15.97903287,7.781286601,212.9155182,372.5905979,5.869741847,0.604925724,61.37923774,64.93582994,4.207891203
B57,29.60135078,22.01664243,74.39148456,72.56176134,42.84641312,49.02907195,128.6822502,22.46676698,14.65097575,93.58234405,25.0309674,870.7531591,846.560992,6.47452607,749.2701255,82.95154464,198.3998765,54.3541163,3.631404161,14.05508031,66.19051837,1.242602085,117.7773398,2.24829636,3.598986321,121.3530664,6.088471864,21.94264977,15.43756552,7.233512926,160.8576366,316.9819004,19.11007694,0.582906768,79.03839405,52.56256091,5.447373199
B64,28.21591799,15.83741198,61.81294294,60.78571481,38.31298844,45.69841614,124.9515727,21.34783389,13.95739342,71.92584601,20.88267829,719.0887289,688.3613279,8.193350763,657.8436381,64.58108334,207.4770083,53.04572457,3.327038719,14.27579727,68.67751192,1.242602085,102.1968973,2.067973876,0.868003754,111.5777265,5.692923369,18.93099198,18.68636961,7.890841336,170.1734399,259.6021124,4.676918865,0.542887956,66.26231461,16.09460001,4.141511514
B68,26.59449557,18.34752413,80.59639825,77.73941579,36.9030527,69.01300678,155.7382612,22.59178737,14.62936996,67.28721135,46.56421475,957.5868386,906.9708134,6.696309901,853.2198277,79.86030973,243.5925053,59.58768322,3.734442688,14.45067826,66.43699012,1.242602085,144.6890131,2.158135118,1.66685139,121.5287814,7.468671866,23.10097969,15.7082992,8.21950554,205.9855341,333.4923186,9.786177302,0.530819395,67.8142053,39.75918712,4.42400168
B73,29.66558939,20.33402043,74.36703627,73.26681055,42.65999844,74.30514988,130.8233506,23.2070214,16.64482783,91.62024657,16.76795693,882.4110655,869.047169,7.742390305,762.4037204,88.96797249,221.6971251,65.22525197,3.608126497,13.64812424,68.97816566,1.525588142,153.9263424,2.218242612,1.467217951,111.3949556,5.962212966,24.67970193,14.76151061,7.247598535,184.7016062,304.5683451,6.760241845,0.561167702,73.22569658,74.92415968,4.64004646
B73Htrhm,27.92665749,18.92385841,75.74693085,74.73246117,40.26472182,67.58558286,125.0064731,25.8106333,16.85728442,89.62445346,21.14712966,891.7099172,870.3092195,7.694337142,699.7880555,82.98383132,210.3219219,66.78383773,3.622020537,14.0503509,67.51718146,1.242602085,149.6464266,2.158135118,1.212121738,108.1132663,6.669608707,28.42929732,16.82985419,7.726509233,170.2114684,288.5810245,5.810100698,0.604925724,67.34479048,75.8176684,4.22202798
B75,22.93761313,14.13925232,73.63243463,71.04227147,36.73598694,56.87990349,121.7592398,21.25835992,13.65587951,68.7658077,39.43359046,872.8853242,828.5719589,8.082458847,693.8950382,88.78837559,304.726606,53.69992043,4.434183473,15.38198981,67.0644277,1.242602085,129.5807053,2.067973876,0.939978107,104.5930885,6.887535023,22.63764772,17.87416859,7.343067661,207.2813894,341.7383016,2.231631754,0.56787256,58.01771717,44.20117395,5.044481806
B76,27.32426254,18.19828839,73.17732826,71.50163079,41.2523894,49.02907195,133.6996723,19.37523899,12.94136936,77.93518602,21.85460645,864.1914793,842.9520548,4.755701376,629.3197574,83.20049371,226.3168347,49.38214035,3.513542539,14.40931766,62.30240345,1.242602085,126.2757629,2.338457601,1.280424403,117.7347555,6.451682391,24.72264158,16.79123389,7.233512926,193.7474602,302.3280754,6.048665294,0.542887956,65.19541356,46.17824026,6.433797343
B77,24.16026298,14.21049918,75.42162374,74.67819367,36.73205295,60.92427125,131.8357582,20.93900738,13.07077172,70.2436699,10.90933778,874.1127111,876.2441831,4.977485208,690.1153468,91.75572109,262.9818533,67.43803359,4.908793433,14.23442268,67.00131081,1.242602085,145.1611477,2.24829636,1.95784813,126.1398643,6.379040285,19.62598993,12.45949511,6.959626089,210.9120169,366.5020992,10.22354573,0.622925579,59.59511897,51.51738754,5.504206792
B79,29.94138608,18.99861179,75.31318804,74.40685619,42.76606182,68.55593743,127.8140294,21.8311526,15.22647172,83.14897897,14.84861273,890.1808288,878.0351531,7.916120974,759.9714948,101.3865793,233.9521226,67.43803359,3.622107825,13.58575619,68.3163414,0.96393762,133.691143,2.158135118,2.053278376,105.1370376,5.071482388,21.71098379,17.06196757,7.616954498,208.280173,327.2195739,11.71457446,0.719160254,77.76373227,68.72910657,4.972498772
B84,27.56610527,23.56009761,77.1909235,77.06596348,38.47152596,69.05630994,134.8663303,24.59665139,14.72139754,90.09381073,20.60485364,917.4719866,912.5281975,7.361661395,764.2912632,78.6109011,201.9613594,72.41965033,3.564448521,14.71020349,66.90485486,1.242602085,139.1654814,2.24829636,2.439705362,126.2148576,6.161113969,28.66096331,15.16683185,8.164728173,160.8576366,291.7423604,10.87959837,0.604925724,68.5188208,61.7078279,5.056642095
B97,25.67692629,15.98269635,76.72285218,74.2983212,38.63215932,72.58156657,135.8872456,21.50359911,12.32037712,75.99868727,37.66639269,917.2260266,868.715132,5.809174575,724.400069,100.5276109,248.2347501,68.74642532,4.098943943,12.95945161,68.19626481,0.96393762,149.4103593,2.067973876,1.929664006,123.0157205,5.943187653,23.33264568,13.27169613,7.836063968,201.5732289,326.7512279,12.19170365,0.608000761,64.42056132,54.65290765,5.50444977
C103,25.32234443,19.11789222,77.70552777,75.48334664,35.66807398,53.12633044,159.6952891,24.08287887,10.91500698,81.1308321,36.22194828,933.4803638,889.4564435,3.924012008,733.8249715,91.87578618,271.6159146,57.35666303,3.952985762,12.98848835,66.49264676,1.242602085,132.9916502,2.248098813,1.263218674,128.7605321,7.831882393,22.57385134,13.99892036,6.859519813,203.7872062,372.696532,11.0718376,0.622925579,61.59569131,56.79466283,4.977223588
C123,27.37045647,18.76896261,72.44758367,70.89688543,36.88080979,47.62939285,140.9774988,22.92783948,13.39567466,75.65865087,24.45610601,835.7312324,822.8273377,5.032931166,673.3805258,86.60696711,240.0060538,62.71863364,4.106132256,13.68845224,65.58415425,1.242602085,119.662328,2.248098813,1.039574726,131.7307387,5.071482388,27.2709674,14.08389715,7.014403457,214.2082201,325.1480557,13.76483956,0.622925579,60.69892377,41.29217659,5.050244492
C49A,29.03935308,13.64461202,63.49369635,62.30520469,35.68000961,42.60566433,118.8720553,21.51510074,12.40138249,46.8128271,27.92273303,735.4583052,701.3011639,7.694337142,504.8651749,66.37710824,232.0015146,43.88698247,NA,NA,NA,1.242602085,109.7510512,2.158135118,0.884113814,105.6893342,4.337150228,21.47931781,16.24976654,7.452622396,168.9693786,308.2295644,7.668746487,0.530819395,55.03155972,43.58076665,3.756610565
CH701-30,21.72576609,13.15893324,70.32514567,67.62341925,33.59222397,64.01702307,134.5771263,23.35345379,11.36108667,71.00156034,31.90558162,807.3687678,779.3287131,7.361661395,643.1777579,94.56689051,239.7580688,51.73733284,4.450279056,14.49875767,66.55194877,1.242602085,137.6069938,2.24829636,2.054864041,113.9559817,7.396029761,22.86931371,13.81316348,7.781286601,206.1748246,332.6640968,7.360770573,0.530819395,61.79343719,47.33669406,4.325555773
CH9,24.06736692,14.17682674,72.71073115,70.01118905,36.4598789,37.37177663,108.4712729,19.2557679,12.580235,59.731601,29.19772457,848.3870758,816.3978996,5.69828266,623.9521222,80.32883797,286.6120541,53.04572457,4.015943983,14.34060859,62.73688638,1.242602085,112.3477917,2.158135118,0.38253514,93.63163561,5.216766599,24.72264158,14.35463083,7.616954498,184.5689048,317.6770231,2.708760946,0.530819395,56.91479487,41.60173693,5.340844187
CI.7,25.35712042,15.8831031,80.6572103,80.26774571,38.87386202,85.42838182,126.1748733,22.15032016,15.13170818,76.49851515,18.27951142,947.3056273,936.8894065,8.02701289,849.3533684,88.65822885,302.119587,69.40062118,3.208790301,14.83258832,63.83641445,1.242602085,166.4072057,2.338457601,1.66685139,112.1523678,6.887535023,22.17431576,17.34009076,8.164728173,293.1818106,417.1053202,8.29599759,0.530819395,NA,69.52696597,4.31708554
CI187-2,24.01037919,13.46104405,85.86760165,83.86019138,33.03772795,62.77160328,123.3263526,19.74487754,11.74749098,50.57578557,30.86181372,1005.204096,981.4793178,4.533917545,740.7163051,86.03324597,206.0255217,55.66250803,5.759906156,13.79302433,65.31652863,1.242602085,112.5758375,2.24829636,3.293900166,111.2270731,6.669608707,21.01598584,13.81316348,7.343067661,204.8929233,324.1753246,14.99483765,0.530819395,54.45126089,41.5033064,4.386106232
CI21E,28.6046515,20.43146276,77.2650307,76.30621854,42.48198703,67.34767888,146.5182983,23.33396447,14.40475077,88.18759736,19.622041,924.3061166,907.9291846,6.640863943,796.1028906,95.0614481,309.6616602,56.97089976,3.748175664,13.37978738,68.94840365,1.242602085,151.5349651,2.24829636,2.487106973,130.781627,6.960177128,20.32098789,15.43756552,7.890841336,250.8153627,409.0045036,7.778258617,0.622925579,71.69672187,61.7078279,5.294505675
CI28A,24.09620653,18.716541,80.35544825,78.25984838,36.71094832,73.29527853,125.8908074,20.80289658,12.27134135,68.8718756,24.43110517,945.5674098,924.8252264,8.082458847,744.5323228,105.9156856,253.0536854,54.97939149,3.871553693,13.88949797,66.79511002,1.242602085,130.9971091,2.158135118,1.768118039,103.2801021,7.468671866,22.17431576,18.14490226,8.329060275,192.9973517,347.4169975,10.40246918,0.530819395,58.49234229,63.18508689,4.5326573
CI31A,25.51551311,13.75935467,82.09041951,80.21347822,35.78741,72.34366259,120.5625718,18.66202289,13.32759846,56.9995428,23.48753414,995.6013309,976.9018568,8.082458847,747.4654988,91.02689939,254.4471125,56.31670389,4.710901858,15.12248551,64.34915147,1.497289536,123.6790225,2.067973876,2.63999354,104.6711912,7.105461339,22.57385134,16.9688496,7.781286601,236.9833026,374.8737849,14.04057927,0.542887956,60.47478488,60.34013465,4.887756063
CI3A,27.68005454,15.75953966,78.71122473,76.37559133,41.58708375,76.88150986,113.0195495,22.18443339,17.02635375,64.91108901,32.7919259,931.4475047,904.3225967,6.419080112,706.6024121,96.22397893,212.6231067,68.87541803,3.677960002,13.97376275,66.78268138,1.242602085,158.688273,2.248098813,2.569858474,102.5584779,6.379040285,26.40265782,16.08737188,7.123958191,192.6402497,345.3412487,15.32237205,0.542887956,65.88176215,68.42869398,3.758041117
CI64,29.89685648,19.05776545,78.51204129,79.07386081,43.06278378,80.6703021,138.1508044,20.62694599,16.22526013,80.04213081,0.743670054,924.594399,934.4280483,7.139877564,754.6384475,88.63219951,297.9917085,61.55027081,3.79355724,13.11751194,67.17173932,1.166926381,147.0496862,2.338457601,0.536056589,115.3251208,7.541313972,30.97762314,25.9961788,7.562177131,207.9359765,356.5497456,7.59933517,0.570947597,71.18886111,60.26718179,5.019339717
CI66,27.55110019,20.17315298,85.33966176,84.25190994,38.534666,48.71894253,134.1563918,21.25737636,14.57131366,66.29857958,39.32777566,1017.721487,975.925032,5.143823081,644.3776936,85.35250185,204.8903071,66.83615204,4.548440498,15.02624069,66.79943793,1.242602085,118.8322243,2.158135118,0.776183988,111.6866405,6.960177128,24.25930961,13.81316348,6.576184517,167.4450564,253.9853538,5.996260576,0.56787256,NA,68.29119707,4.395595475
