Taxa	CC	KC	Oil	ULA	FT
CH9	2.0	1.0	0.7575097588652332	0.43426324883585266	73.756
CI187-2		1.0	0.8348080596793995	0.4381632584740568	84.018
CI21E	2.0	1.0	0.739330883303563	0.2744192236165284	80.356
CI28AGoodman-Buckler	2.0	1.0	0.7480169460419326	0.25882185838497623	81.944
CI31A	2.0	1.0	0.7951163821792382	0.2786138927719317	83.701
CI3A	2.0	1.0	0.7341294907025976	0.19413761855856485	82.511
CI64	1.0	0.0	0.7425910002814207	0.2878056589854405	81.8
CI66	1.0	0.0	0.7873462668970179	0.1776231356665271	86.442
Ci7Goodman-Buckler	1.0	1.0	0.6935838618958777	0.16137248136685256	82.533
Ci90CGoodman-Buckler	2.0	1.0	0.7842957628660698	0.3141037458376569	84.089
Ci91BGoodman-Buckler	2.0	1.0	0.7709592271311569	0.3217317610639388	79.913
CM105	2.0	1.0	0.724015685860649	0.4866197225685114	67.166
CM37	1.0	1.0		0.38244392140683714	64.466
CM7	1.0	1.0	0.7401024251701533	0.5179726858089648	66.137
CML108		0.0	0.8012120781140055	0.23756995356659524	87.283
CML10		0.0	0.7929219523326446	0.1183530627330896	92.229
CML11		0.0	0.7992719761967493	0.19519746021717868	92.579
CML14		0.0	0.8027115879459952	0.2951261761162434	97.443
CML154Q		0.0	0.7543315718419206	0.30401492723614343	83.822
CML157Q		0.0	0.7966123224454095	0.07906657443734871	86.957
CML158Q		0.0	0.766588984732706	0.24226208902780963	90.205
CML218		0.0	0.7887605626880735	0.19632717950046996	87.272
CML220		0.0	0.7423370121327283	0.3433140503579176	79.688
CML228		1.0	0.7584601765004021	0.1829445508316345	92.919
CML238		0.0	0.7736369875869458	0.20664917505336555	90.968
CML247	1.0	0.0	0.7441636619914734	0.1475160790836972	94.262
CML254	1.0	0.0	0.7672486062618789	0.14987986759069424	95.012
CML258		0.0	0.7403965144116577	0.2014682035265855	96.203
CML261		0.0	0.8075971446185393	0.20373907329772772	95.051
CML264	1.0	0.0	0.770085215268998	0.2951261761162434	
CML277	1.0	0.0	0.7489668406220771	0.19765991353296572	93.062
CML281		0.0	0.7703052258351919	0.20664917505336555	89.589
CML287	1.0	1.0	0.7297403829979323	0.20664917505336555	96.433
CML311		0.0	0.8012278121393802	0.23842986566500496	95.424
CML314		0.0	0.8006204424962163	0.1777025935789158	89.17
CML321		0.0	0.8209899591862483	0.25430118503539867	93.607
CML322		0.0	0.8010441095276434	0.38581917411524835	85.677
CML323		1.0	0.7976072599528078	0.16864907641693624	84.979
CML328		1.0	0.8282779569718538	0.24053837061884642	88.449
CML331		0.0	0.7686326208183379	0.27162634691774046	97.139
CML332		0.0	0.7867765272588496	0.24366515780084416	90.487
CML333		0.0	0.8147576543039525	0.18448404364726254	87.546
CML341		0.0	0.7675672728214794	0.13073744703217346	93.491
CML38	1.0	0.0	0.8217698985985542	0.0661976553872251	92.378
CML45		0.0	0.8198793724644426	0.2014682035265855	94.64
CML52	1.0	1.0	0.7914456332309701	0.2014682035265855	97.847
CML5		0.0		0.2222564289622864	94.234
CML61		0.0	0.7632952344325241	0.1795868815570168	94.16
CML69		1.0	0.7935820229588152	0.1169931827487674	89.967
CML77		0.0	0.7914456332309701	0.26316540380719783	83.159
CML91		0.0	0.7872717716054906	0.09548574132766055	88.533
CML92		0.0	0.7894695256671099	0.04044963309757037	83.68
CMV3	1.0	1.0	0.7914334819357806	0.5084192373880895	64.609
CO106	1.0	1.0	0.6903462027952172	0.45177436162088663	65.472
CO125	2.0	1.0	0.7966282191278257	0.25676271582638116	65.846
CO255	2.0	1.0	0.7797701430248799	0.469266850529396	63.807
D940Y	1.0	1.0	0.7978158868753102	0.09442217393976955	89.009
DE1	2.0	1.0	0.7451177949138637	0.30964247717878385	80.16
DE-2		1.0	0.7631030079691458	0.2851281820512295	78.738
DE811	2.0	1.0	0.7679877258657303	0.048128816142536494	82.601
DE					
E2558W	1.0	0.0	0.8048560721002995	0.2766861452637731	83.912
EP1	1.0	1.0	0.787301941301417	0.4784973471838611	66.503
F2834T	1.0	1.0	0.7663776157827181	0.3228018120174706	79.621
F6	1.0	1.0	0.8126377873518915	0.14951241929806688	88.65
F7	1.0	1.0	0.7720194438014965	0.4048519245733541	63.195
GA209	1.0	0.0	0.7598180995041398	0.1943451356068748	90.655
GT112	1.0	1.0	0.7772037413985314	0.3759261714337936	90.204
H105W	1.0	0.0	0.7376113292129989	0.44437859081920833	75.387
H49	2.0	1.0	0.7430807060941177	0.465179706104544	76.703
H84	2.0	1.0	0.7776695994410608	0.3339342284160662	79.112
H91	2.0	1.0	0.7518142615405882	0.38045605545273686	77.28
H95	2.0	1.0	0.7519831609423993	0.32672076489374363	79.29
H99	1.0	1.0		0.3950321224355319	73.286
Hi27Goodman-Buckler	2.0	1.0	0.7763418467458035	0.12263137272080908	89.56
HP301	1.0	1.0	0.7735102728355316	0.4358326651381667	77.443
I137TN	1.0	1.0	0.7734078799694232	0.04821284470967209	83.25
i1677a		0.0		0.48399666450884593	81.103
I205		1.0	0.7425843787474941	0.3151128815459906	77.182
I29		0.0	0.7660837729680416	0.48012803805247495	70.103
IA2132Goodman-Buckler	1.0	0.0	0.812706341924598	0.459489948735556	72.765
Ia5125	1.0	1.0		0.5132727331991415	74.855
IDS28		1.0	0.7840794518267148	0.3930559194066572	77.214
IDS69		1.0	0.7639288349396431	0.3228856524151118	79.723
IDS91		1.0	0.7451870957696999	0.4305469550709099	75.674
Il101	1.0	1.0	0.8202236690687822	0.28994681819635193	71.914
Il14H		0.0	0.8415038164225745	0.46432974695782026	72.129
ILLHy	2.0	1.0			79.039
K148	1.0	1.0	0.7598071310774668	0.13983063510598503	81.517
K4		1.0	0.8237898134196124	0.23680006876465035	85.172
K55		0.0	0.8038989808224781	0.3028282236966979	79.154
K64		0.0	0.7699694213527108	0.29205368836587103	83.763
Ki11		1.0	0.7971633642470543	0.15919629087752873	90.578
Ki14	1.0	1.0	0.809172203379609	0.33292790094730634	90.383
Ki2021		1.0	0.7421269793570582	0.2951261761162434	93.691
Ki21	1.0	1.0	0.7709737607183693	0.2979379147561855	84.698
Ki43	1.0	1.0	0.8172221093457576	0.3321065726124841	87.123
Ki44	1.0	1.0	0.7838026779014229	0.21574362316546478	89.062
Ky21		0.0	0.7142117642778373	0.2533514930047804	84.979
KY226	1.0	0.0	0.7166886357674289	0.3832861972693405	81.699
KY228		0.0	0.7367202441604825	0.20697581709673	85.549
L317		1.0	0.7883006707148148	0.3193520050419197	81.372
L578		1.0	0.8173068780999159	0.0009529704659261883	88.811
M14	2.0	1.0	0.8019066203052515	0.46662992035492323	74.025
M162W		0.0	0.7779138121360348	0.3782919472580776	86.01
M37W		0.0	0.7301402430490774	0.42543852376871066	83.399
MEF156-55-2	1.0	1.0	0.7605972710388147	0.45400024301450365	67.35
Mo17	2.0	1.0	0.7420774396335137	0.35880562618215817	76.858
Mo18W	1.0	0.0	0.7684572719306104	0.20612936073608565	91.035
MO1W	1.0	0.0	0.7510078191776779	0.45803097796885084	78.877
Mo24W		0.0	0.7831838386672728	0.07311549937669963	83.141
Mo45	1.0	1.0	0.7438223786976033	0.1288727192786692	78.179
Mo46	2.0	1.0	0.7877179391716763	0.3376408092632993	81.177
Mo47	1.0	1.0	0.7890179988043752	0.4452398788310954	73.064
MoG	2.0	1.0	0.838093941018847	0.18304681430831526	80.998
Mp339	1.0	0.0	0.8053566732271701	0.1684331215529384	86.006
MS1334	1.0	1.0	0.8072505373311258	0.3591070284197325	66.388
MS153	1.0	1.0	0.7717582367368988	0.4058624007647435	73.165
Mt42	2.0	1.0	0.7519887994176918	0.45706371895511827	65.037
N192		1.0	0.7679526435819821	0.1946196100144678	70.924
N28Ht	2.0	1.0	0.7045580859768891	0.25728503145700754	77.186
N6	2.0	1.0	0.7980161366235705	0.36272171793950575	76.432
NC222		1.0	0.7937994358853361	0.0708150448703686	85.459
NC230		1.0	0.8277768440524583	0.12459306853245741	81.1
NC232		1.0	0.7128727117792313	0.36901154940505454	82.069
NC236		1.0	0.7880391250654458	0.32285826317802435	83.937
NC238		1.0	0.7898193365489813	0.0712054398541161	90.115
NC250	2.0	1.0	0.727678924521482	0.31910940701755164	77.338
NC258	1.0	1.0	0.8230280781212269	0.1464123272657185	82.06
NC260		1.0	0.8064943215707434	0.2017275151641006	79.904
NC262	2.0	1.0	0.7833620474719474	0.344445434696474	75.137
NC264	1.0	1.0	0.8043110079208449	0.35103665444323096	80.03
NC290A		1.0	0.7727554251340253	0.23457457079618352	81.391
NC294		1.0	0.7620569174083619	0.2779865525439034	79.535
NC296A		0.0	0.7375880801742727	0.20111150879741532	84.416
NC296		0.0	0.7377966694577414	0.20237411558873322	83.682
NC300		1.0	0.7579170795898454	0.24341827534171684	86.174
NC302		1.0	0.7222791342338256	0.1734897313541704	80.667
NC304		1.0	0.8186857729230791	0.035656000855354614	83.733
NC306		1.0	0.7713393289364711	0.16948484741344894	79.639
NC310		1.0	0.7875092443805622	0.10114690910552529	77.534
NC314		1.0	0.7925942386347772	0.30953592874897917	78.77
NC318		1.0	0.8032012809738076	0.19482932166089625	82.494
NC320		1.0	0.8155251569088209	0.2657635926806089	83.9
NC324		1.0	0.7507185505337705	0.25221003003549614	80.376
NC326		1.0	0.7592824767196384	0.07752933692593342	79.273
NC328		1.0	0.7703273611671555	0.04444859141363342	77.866
NC336		0.0	0.7659751342756091	0.1693969332286016	86.105
NC338		1.0	0.6777153232197702	0.2085978563058528	84.155
NC33		0.0	0.809902755197746	0.06859575404044703	87.768
NC340		0.0	0.7095565762510512	0.24215023770168248	84.965
NC342		1.0	0.8170383816778909	0.3457412754812512	77.702
NC344		1.0	0.7804908300256612	0.31977714824864395	80.917
NC346		0.0	0.7842726880644337	0.2219732676124296	84.048
NC348		0.0	0.7574139014235673	0.20425173583487818	82.182
NC350		1.0	0.8263405843358864	0.25048636703764077	83.004
NC352		0.0	0.7358089896524461	0.1910302740987959	87.1
NC354		1.0	0.8118467967822229	0.1492058611508369	84.06
NC356		1.0	0.7749283856964586	0.3136799548307906	82.144
NC358		1.0	0.7314779461504306	0.011649512937195608	79.468
NC360		1.0	0.7842203466053664	0.13783769133672613	82.938
NC362		1.0	0.767991888565185	0.28777163741177025	80.85
NC364		1.0	0.7478823264822817	0.2702445846588686	77.649
NC366		1.0	0.8192994010948853	0.26653667390098573	85.653
NC368		1.0	0.7517828003608454	0.04274024256385374	80.013
ND246	2.0	1.0	0.7950259953607252	0.36286613241546417	65.382
Oh40B	1.0	1.0	0.7678590866474523	0.27708842872897077	78.051
Oh43E	1.0	1.0	0.7746816071981195	0.30123771752492956	74.577
Oh603	1.0	1.0	0.745035780091023	0.2656652281800679	85.299
OH7B		1.0	0.8040537031274237	0.07541583637915542	85.704
Os420		1.0	0.7478254044217333	0.47751807421498266	76.3
P39Goodman-Buckler		1.0	0.8913163908561845	0.5098596799238041	68.675
Pa762	1.0	1.0	0.7655219239463252	0.24198801810961024	77.122
Pa875	1.0	1.0	0.7434834642035055	0.4417339028890997	78.193
Pa880	1.0	1.0	0.7919651022798906	0.2347679196333705	79.556
Pa91		1.0	0.7861359385267487	0.3005153306436131	80.694
R168	2.0	1.0	0.8117298804754359	0.3497242591144436	72.007
R177	2.0	1.0	0.7819854948902029	0.43769225052965466	79.107
R229	1.0	1.0	0.7471292089788207	0.1261740674818479	79.7
R4	2.0	1.0	0.7626589640351841	0.2592957220731322	79.407
SA24		1.0	0.7580388810265629	0.34972335002466537	80.199
SC213R	1.0	1.0	0.8465325449252967	0.10571589624757759	92.084
SC357	2.0	1.0	0.8482311116443215	0.22132532898688695	84.519
SC55	1.0	1.0	0.8195527709119896	0.16286985286574557	88.972
SD40	2.0	1.0	0.7984709600116182	0.26761508781537785	77.827
Sg1533		1.0	0.7721262150674615	0.28599247197896505	79.325
Sg18		1.0	0.7433575653654905	0.4598003229028422	81.765
T232	2.0	1.0	0.7715415928998841	0.058279175603519896	83.078
T234	1.0	1.0	0.7860982403151474	0.28660830649552366	83.792
T8	1.0	1.0	0.7929926790503138	0.21177653189463028	78.702
Tx303		1.0	0.7709250322778419	0.15711804091081405	86.11
Tx601	1.0	1.0	0.8309870819269521	0.29401212407489746	91.929
Tzi10	1.0	0.0	0.7935737685776014	0.25430118503539867	91.532
Tzi11	1.0	0.0	0.7876696620572533	0.10632019660081916	86.806
Tzi16	2.0	0.0	0.7947246175696794	0.08786366047263655	83.906
Tzi18	1.0	1.0	0.7933327057748922	0.11339020178516629	86.927
Tzi25	1.0	1.0	0.7758744516451352	0.2039837679456404	85.158
Tzi9	1.0	0.0	0.7743605058304852	0.27430655279968746	84.834
U267Y	1.0	1.0	0.7673062632221647	0.34205113990103875	88.56
VA102	2.0	1.0	0.7424095761123114	0.13768520676789986	73.105
Va17	2.0	1.0	0.7728753560358531	0.2652881468036297	79.121
Va22	1.0	1.0	0.8069734920925304	0.22555793584806808	79.373
Va26		1.0	0.7440597503166132	0.15570905612344485	74.48
Va35	2.0	1.0	0.7881691407469347	0.16580019842782254	76.804
Va59	2.0	1.0	0.8086370156098251	0.19272336695283748	74.562
Va85	1.0	1.0	0.7898410169926096	0.35439672755354934	78.243
Va99	2.0	1.0	0.7947102785978636	0.23914904020334246	77.999
VaW6	1.0	1.0	0.7837031030126338	0.4808840868887302	78.458
W117Ht	2.0	1.0	0.7667494846841578	0.4368563105787849	68.165
W153R	2.0	1.0	0.7308241327248467	0.3179130928818475	73.394
W182B	2.0	1.0	0.7803823086632208	0.38052664697131605	64.958
W22	2.0	1.0	0.7452527531757365	0.43542044113937867	76.425
W64A		1.0	0.7514309993353896	0.4202590436202365	75.854
Wf9		1.0	0.7177737753962824	0.46650327569947037	74.422
Yu796	2.0	1.0	0.7557662580325031	0.39825988459726575	75.7
